Feature,Importance
Store_avg_to_date,0.43280217
Weekly_Sales_Real_rollmean8,0.2980496
Weekly_Sales_Real_rollmean4,0.19199084
Weekly_Sales_Real_lag2,0.023142803
Weekly_Sales_Real_lag1,0.014691721
Week,0.0054155705
CPI_lag1,0.0044121705
Month_cos,0.0034999328
Month,0.0031468694
Holiday_Flag,0.0027219965
Unemployment_lag1,0.00252849
Unemployment_roll8,0.0023591942
Weekly_Sales_Real_lag4,0.0023357987
Momentum_8w,0.002330453
Month_sin,0.0022167552
Peak_Season_Flag,0.002058275
Temperature_lag1,0.0013413535
Fuel_Price_roll8,0.0012457545
Weekly_Sales_Real_rollstd8,0.0011975784
Temperature_roll8,0.0011724496
Fuel_Price_lag1,0.0010867062
Quarter,0.00025344422
DayOfWeek,0.0
Year,0.0
